No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
96,0.000402207882233492,133035,133089,133131,0,1.3,1.2,13827,13829,13836,0,1,1,119.96,-120.03,-0.01,119.95,-120.02,1
96,0.0416711256491956,136078,128611,131985,0,104.9,2.2,14143,13158,13717,9.3,1000.6,998.4,118.66,-123.69,-0.01,119.8,-123.67,1
97,0.0825622298231699,135274,123119,125909,96.2,192.3,96.1,14160,12415,12786,9.1,2767.5,2766.3,121.9,-123.89,1.18,124.12,-124.24,0
97,9.71728091859871e-05,133128,133114,133116,0.8,0.9,0.8,13835,13833,13833,0,3,3,120,-120,0,120.01,-120,0
98,0.000400018541261885,133042,133081,133129,0,1.5,1.2,13828,13827,13836,0,3,3,119.95,-120.04,-0.01,119.95,-120.03,1
98,0.114540676905961,140247,120257,130124,0,277.5,2.3,14577,11939,13522,9.7,2661.3,2660.3,116.38,-129.92,-0.01,119.64,-129.89,1
99,0.000104245946412155,133129,133113,133115,0.8,0.9,0.8,13835,13833,13833,0,3.2,3.2,120,-120,0,120.01,-120,0
99,0.0924754658142276,135430,121881,125136,107,213.8,106.8,14186,12242,12674,9.2,3077.2,3075.9,122.09,-124.39,1.32,124.57,-124.81,0
100,0.000400863043206035,133043,133080,133128,0,1.5,1.2,13828,13827,13836,0,3.2,3.2,119.95,-120.04,-0.01,119.95,-120.03,1
100,0.127507527625621,140819,118709,129820,0,307,2.4,14636,11716,13491,9.9,2944.9,2943.8,115.95,-131.01,-0.01,119.61,-130.98,1
101,1.24228457834716e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
101,9.8319754816832e-05,133087,133101,133101,1.4,1.2,1.4,13829,13831,13831,12.2,9.2,8.9,120,-120,0.01,120,-119.99,0
102,0.000409502837254468,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
102,0.000874762175696733,132902,133042,133115,0,2.2,2.5,13813,13821,13834,12.2,9.2,8.9,119.91,-120.05,-0.01,119.91,-120.02,1
103,0.000107670334680245,133086,133102,133101,1.4,1.2,1.4,13829,13831,13831,12.3,9.1,8.7,120,-120,0.01,120,-119.99,0
103,1.24235406964361e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
104,0.000409462414460056,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
104,0.000885395759147252,132900,133043,133115,0,2.2,2.5,13813,13821,13834,12.3,9.1,8.7,119.91,-120.05,-0.01,119.91,-120.02,1
105,0.000379144052789493,133064,133114,133056,1.5,1.5,2.2,13826,13833,13825,21.4,8.5,21.3,120.02,-119.97,0,120.03,-119.96,0
105,1.23554381904725e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
106,0.000409320359707296,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
106,0.00089556958309232,132828,133054,133059,0,2.1,3.4,13806,13823,13825,21.4,8.5,21.3,119.94,-120.01,-0.01,119.94,-119.97,1
107,0.000326559146011549,133068,133110,133060,1.5,1.5,2.1,13826,13833,13825,20.2,9.1,20.1,120.01,-119.98,0.01,120.03,-119.96,0
107,1.23671361322699e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
108,0.000409324532421125,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
108,0.000858948894489117,132840,133049,133065,0,2.2,3.3,13807,13822,13826,20.2,9.1,20.1,119.93,-120.02,-0.01,119.94,-119.98,1
109,0.000693796049324979,133045,133124,133013,1.7,1.9,2.9,13823,13835,13819,30.6,8.6,33.2,120.04,-119.95,0,120.05,-119.93,0
109,1.2319554907685e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
110,0.000409210285660271,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
110,0.00107527135553376,132765,133063,133006,0,2.1,4.4,13799,13824,13817,30.6,8.6,33.2,119.96,-119.98,-0.01,119.96,-119.93,1
111,0.000824619428978255,133031,133128,132997,1.9,2,3.2,13821,13835,13816,35.7,9,38.1,120.04,-119.94,0,120.06,-119.92,0
111,1.23441777298448e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
112,0.000409204204990617,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
112,0.0012615131256771,132718,133063,132986,0,2.1,4.9,13794,13824,13814,35.7,8.9,38.1,119.96,-119.97,-0.01,119.97,-119.91,1
113,0.00102189547448111,133015,133132,132969,2.1,2.3,3.8,13819,13836,13812,42.7,9.9,46.1,120.05,-119.93,0,120.08,-119.9,0
113,1.23231730918545e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
114,0.00040916139739249,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
114,0.00147534037172067,132664,133063,132952,0,2.2,5.6,13788,13824,13809,42.7,9.9,46.1,119.97,-119.95,-0.01,119.98,-119.89,1
115,0.000869858506846497,133032,133128,132988,1.9,2.1,3.4,13821,13835,13815,36.7,9.6,40.4,120.05,-119.94,0,120.07,-119.91,0
115,1.22962842762492e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
116,0.000409185093990807,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
116,0.00124664985039258,132719,133063,132976,0,2.2,5,13794,13824,13813,36.7,9.6,40.4,119.97,-119.96,-0.01,119.97,-119.91,1
117,0.00099286651508647,133020,133133,132974,2,2.2,3.7,13819,13836,13813,41.1,9.3,44.5,120.05,-119.93,0,120.07,-119.9,0
117,1.22266341967885e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
118,0.000409161581340799,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
118,0.0014276871694383,132679,133066,132958,0,2.1,5.4,13790,13824,13810,41.1,9.3,44.5,119.97,-119.95,-0.01,119.98,-119.89,1
119,0.000879200897172412,133031,133129,132987,1.9,2.1,3.4,13821,13835,13815,36.8,9.4,40.5,120.05,-119.94,0,120.07,-119.91,0
119,1.22717436943144e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
120,0.000409152356482294,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
120,0.0012550148304885,132719,133065,132975,0,2.1,5,13794,13824,13813,36.8,9.4,40.5,119.97,-119.96,-0.01,119.97,-119.91,1
121,0.000395029848143679,133058,133063,133117,2.1,1.5,1.4,13825,13826,13834,21,21.3,7.7,119.97,-120.01,0.02,119.98,-120,0
121,1.23506897507936e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
122,0.000410163737955124,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
122,0.00162268553736778,132805,132970,133148,0,3.4,3.3,13803,13809,13839,21,21.3,7.7,119.83,-120.1,-0.01,119.83,-120.06,1
123,0.000389688607689223,133053,133061,133112,2.2,1.6,1.5,13824,13825,13833,22.6,22.5,9.3,119.97,-120.01,0.02,119.98,-120,0
123,1.23435424029714e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
124,0.00041017547258166,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
124,0.00166718764773702,132788,132964,133144,0,3.5,3.5,13801,13808,13839,22.6,22.4,9.3,119.83,-120.1,-0.01,119.83,-120.06,1
125,1.25887212841623e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
125,5.20824586469733e-05,133057,133049,133055,2.2,2.2,2.2,13825,13824,13825,24.4,25.9,24.7,120,-120,0.02,120.02,-119.99,0
126,0.000409816044774636,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
126,0.0012781997499033,132801,132952,133089,0,3.9,3.8,13803,13807,13831,24.4,25.8,24.7,119.86,-120.1,-0.01,119.87,-120.06,1
127,1.25307809542148e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
127,4.62015941276568e-05,133060,133055,133054,2.1,2.2,2.1,13825,13825,13824,23.4,24.2,24.6,120,-120,0.02,120.02,-119.99,0
128,0.000409955068794293,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
128,0.00117996892642943,132813,132962,133085,0,3.7,3.7,13804,13808,13830,23.4,24.2,24.6,119.87,-120.09,-0.01,119.88,-120.05,1
129,0.00064756488727333,133057,133043,132959,2.1,3.4,3.4,13825,13823,13811,32.5,32.3,50,120.05,-119.98,0.02,120.08,-119.96,0
129,1.28631471197675e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0.1,120,-120,0,120,-120,0
130,0.00040925323893406,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
130,0.00057937650172372,132803,132950,132989,0,4.5,4.6,13803,13807,13816,32.5,32.3,50,119.91,-120.07,-0.01,119.94,-120.02,1
131,0.000684840263945688,133051,133034,132946,2.3,3.6,3.6,13824,13822,13809,35.1,35.4,53.9,120.05,-119.98,0.02,120.08,-119.96,0
131,1.27594455273672e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
132,0.000409273062182776,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
132,0.000621294616185778,132783,132935,132980,0,4.8,4.9,13801,13804,13815,35.1,35.3,53.9,119.9,-120.08,-0.01,119.93,-120.03,1
133,0.00088802844391103,133062,133039,132926,2.1,3.8,3.8,13826,13822,13806,35,35.7,58.6,120.06,-119.98,0.01,120.1,-119.95,0
133,1.30101799165903e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0.1,120,-120,0,120,-120,0
134,0.00029962160438911,132819,132949,132956,0,4.8,4.8,13805,13806,13811,35,35.7,58.6,119.93,-120.06,-0.01,119.96,-120.01,1
134,0.000408965472207347,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
135,0.000925360881461656,133048,133051,132917,2.1,3.7,4,13824,13824,13805,39.4,33.5,60.6,120.07,-119.97,0.01,120.11,-119.94,0
135,1.31441838262476e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0.1,120,-120,0,120,-120,0
136,0.000408940530953048,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
136,0.00042747636618725,132771,132960,132940,0,4.6,5.3,13800,13808,13809,39.4,33.5,60.6,119.94,-120.04,-0.01,119.97,-119.99,1
137,0.00107726106679029,133051,133029,132888,2.3,4.3,4.4,13824,13821,13800,41.6,41,69.4,120.08,-119.97,0.02,120.12,-119.94,0
137,1.30695860361951e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0.1,120,-120,0,120,-120,0
138,0.000231211758708561,132781,132931,132919,0,5.3,5.5,13801,13804,13806,41.6,41,69.4,119.93,-120.06,-0.01,119.97,-120.01,1
138,0.000408907517101317,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
139,0.00101414667810388,133061,133024,132902,2.2,4.2,4.1,13826,13820,13802,37.4,41.2,65.7,120.07,-119.98,0.02,120.11,-119.95,0
139,1.32230209695887e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0.1,120,-120,0,120,-120,0
140,0.000263238745286274,132817,132927,132938,0,5.3,5.1,13804,13803,13809,37.4,41.1,65.7,119.93,-120.08,-0.01,119.97,-120.02,1
140,0.000408863942430138,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
141,0.000804068102468818,133016,133015,133130,3.2,2.1,1.7,13819,13819,13836,34.8,37.3,8.8,119.94,-120.03,0.03,119.95,-120.01,0
141,1.21785468788087e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
142,0.000411305543754554,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
142,0.00260874415704591,132664,132876,133182,0,5.1,4.7,13789,13794,13845,34.7,37.2,8.8,119.74,-120.17,-0.01,119.74,-120.12,1
143,0.000772782530994869,133017,133013,133125,3.2,2.1,1.8,13819,13818,13835,34.7,37.7,10.3,119.95,-120.03,0.03,119.95,-120.01,0
143,1.22969021634842e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
144,0.000410915363732912,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
144,0.00257974111707951,132667,132873,133178,0,5.1,4.7,13789,13794,13844,34.7,37.6,10.3,119.74,-120.17,-0.01,119.74,-120.12,1
145,0.000588491123960406,133039,132968,133060,3.3,3.2,2.2,13822,13812,13825,33,47.8,30.5,119.97,-120.04,0.03,119.99,-120.02,0
145,1.27991405743811e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
146,0.000410669903431079,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
146,0.00232528686839593,132740,132821,133132,0,6.2,4.6,13796,13786,13838,33,47.7,30.5,119.74,-120.21,-0.01,119.77,-120.16,1
147,0.00058289519933028,133052,132972,133058,3.1,3.2,2.1,13824,13813,13825,29.5,45.9,30.6,119.98,-120.04,0.03,120,-120.03,0
147,1.28074556246419e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
148,0.000410770827491035,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
148,0.00216578014310242,132783,132834,133130,0,6,4.2,13801,13788,13838,29.5,45.8,30.5,119.76,-120.21,-0.01,119.78,-120.16,1
149,0.00211749625033806,133104,132783,132829,4.6,7.9,4.7,13832,13785,13792,34.3,105.3,105.1,120.06,-120.09,0.05,120.13,-120.07,0
149,1.45001738408431e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
150,0.000409591058055862,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
150,0.00325431220641602,132954,132591,132982,0,12,4.8,13819,13752,13819,34.3,105,104.9,119.73,-120.39,-0.01,119.83,-120.33,1
151,0.00178248767979569,133097,132826,132864,4.1,7,4.2,13831,13792,13797,32.7,92.2,92.2,120.05,-120.08,0.05,120.12,-120.06,0
151,1.46380916753527e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
152,0.000409617317968134,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
152,0.00280033471540497,132930,132650,132997,0,10.7,4.6,13816,13761,13821,32.8,91.9,92,119.75,-120.34,-0.01,119.84,-120.28,1
153,0.00477036353467842,133215,132528,132546,6.7,14.1,8,13848,13749,13751,32.4,187.6,199.6,120.16,-120.18,0.08,120.31,-120.16,0
153,1.64532982434414e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
154,0.000408096814352431,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
154,0.00636645438206861,133319,132283,132813,0,20.4,4.6,13857,13706,13798,32.5,187,199.1,119.71,-120.64,-0.01,119.91,-120.59,1
155,0.00451174130691523,133204,132557,132569,6.4,13.5,7.8,13846,13753,13754,32.9,179,191.1,120.16,-120.16,0.08,120.3,-120.15,0
155,1.6955135262476e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
156,0.000407997597367973,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
156,0.00598821272804159,133283,132319,132822,0,19.6,4.7,13853,13711,13799,33.1,178.5,190.6,119.72,-120.61,-0.01,119.91,-120.56,1
157,0.00549715878468377,133227,132455,132438,7.4,16.1,9.5,13850,13738,13735,40.1,213.5,232.8,120.2,-120.19,0.09,120.38,-120.17,0
157,1.7373785823846e-05,133125,133123,133123,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
158,0.000407540245034588,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
158,0.00711129281652523,133357,132187,132733,0,23.1,5.4,13861,13691,13787,40.3,212.8,232.2,119.71,-120.7,-0.01,119.94,-120.64,1
159,0.0043931742770861,133185,132588,132536,6,13.4,8.3,13844,13757,13749,41.4,174.2,195.2,120.17,-120.14,0.07,120.32,-120.12,0
159,1.69688749212786e-05,133125,133123,133123,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
160,0.00040766445880055,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
160,0.0054273606180226,133220,132358,132771,0,19,5.5,13846,13717,13791,41.5,173.7,194.8,119.76,-120.55,-0.01,119.95,-120.49,1
161,0.000865540149407732,133012,133003,133131,3.4,2.2,1.8,13818,13817,13836,36.7,40.6,9.9,119.94,-120.03,0.03,119.94,-120.02,0
161,1.21978791919367e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
162,0.0004114322851666,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
162,0.00276528053519453,132651,132856,133188,0,5.4,4.9,13787,13791,13846,36.6,40.4,9.8,119.72,-120.19,-0.01,119.72,-120.13,1
163,0.000872297929283071,133012,133005,133133,3.3,2.2,1.8,13818,13817,13836,36.6,40,9.1,119.94,-120.03,0.03,119.94,-120.02,0
163,1.21566194671985e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
164,0.000411609520512375,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
164,0.00276277115569388,132650,132859,133189,0,5.4,4.8,13787,13792,13846,36.5,39.9,9,119.72,-120.18,-0.01,119.72,-120.13,1
165,0.000933603504807947,133031,132913,133057,4,4,2.2,13821,13804,13825,38.8,62.5,36.9,119.96,-120.07,0.04,119.98,-120.05,0
165,1.29557854889887e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0,120,-120,0,120,-120,0
166,0.000411178293401346,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
166,0.00300749171519603,132713,132736,133155,0,7.7,5.1,13794,13773,13843,38.8,62.3,36.8,119.68,-120.28,-0.01,119.71,-120.22,1
167,0.000953616550217466,133019,132917,133071,4.1,3.8,2.2,13819,13805,13827,41.6,62,33.1,119.95,-120.06,0.04,119.97,-120.05,0
167,1.30544929262794e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0,120,-120,0,120,-120,0
168,0.000411270896965648,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
168,0.00315362639873665,132672,132734,133167,0,7.6,5.4,13789,13772,13844,41.5,61.8,33.1,119.66,-120.28,-0.01,119.69,-120.22,1
169,0.00413512890845669,133176,132520,132700,7.3,12.6,6,13842,13747,13773,33.3,178.3,165.1,120.07,-120.21,0.09,120.2,-120.2,0
169,1.65308430150857e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
170,0.000409448440558527,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
170,0.00655349609904754,133190,132240,132978,0,19.5,4.6,13843,13698,13822,33.3,177.6,164.6,119.57,-120.7,-0.01,119.75,-120.65,1
171,0.00434435360837286,133164,132473,132667,7.9,13.4,6.5,13841,13740,13768,39.9,192.2,177.4,120.08,-120.22,0.1,120.21,-120.21,0
171,1.62571833813779e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
172,0.000410059124403515,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
172,0.00695174407717306,133148,132167,132964,0,21,5.3,13839,13687,13821,40,191.4,176.8,119.53,-120.75,-0.01,119.72,-120.69,1
173,0.0162667027261183,133589,131131,131513,21.1,42,21.2,13903,13547,13601,33.4,596.6,596.7,120.43,-120.71,0.26,120.88,-120.73,0
173,2.60800549172497e-05,133126,133122,133123,0.7,0.7,0.7,13835,13834,13834,0,0.5,0.5,120,-120,0,120,-120,0
174,0.000406317182587146,133033,133091,133131,0,1.3,1.2,13827,13829,13836,0,0.5,0.5,119.96,-120.03,-0.01,119.95,-120.02,1
174,0.0233611025203881,134547,130457,132411,0,62.4,4.8,13984,13431,13759,33.9,591.4,591.7,119.13,-122.16,-0.01,119.78,-122.1,1
175,0.0150459630889735,133535,131262,131611,19.8,39.4,19.9,13895,13566,13615,38.3,558.6,558.9,120.4,-120.66,0.25,120.82,-120.67,0
175,2.73739899451608e-05,133126,133122,133123,0.7,0.7,0.7,13835,13834,13834,0,0.6,0.6,120,-120,0,120,-120,0
176,0.000405808988816203,133033,133091,133131,0,1.3,1.2,13827,13829,13836,0,0.6,0.6,119.96,-120.03,-0.01,119.95,-120.02,1
176,0.0215943339539227,134369,130618,132448,0,58.6,5.3,13966,13455,13763,38.8,553.9,554.5,119.17,-122.02,-0.01,119.77,-121.96,1
177,0.0276947891015852,133944,129808,130423,34.1,69.3,35.3,13956,13358,13442,36.6,984.4,995.4,120.75,-121.2,0.42,121.51,-121.25,0
177,3.87920954564019e-05,133126,133121,133121,0.7,0.8,0.7,13835,13834,13834,0,0.9,1,120,-120,0,120,-120,0
178,0.000402336736274188,133034,133089,133131,0,1.3,1.2,13827,13829,13836,0,0.9,1,119.96,-120.03,-0.01,119.95,-120.02,1
178,0.0392052941322023,135718,128761,131895,0,101.9,5.1,14106,13180,13702,37.5,971.2,982.3,118.72,-123.5,-0.01,119.82,-123.45,1
179,0.0289098850762714,133990,129665,130336,35.5,71.9,36.5,13963,13338,13429,32,1023.5,1032.1,120.77,-121.27,0.44,121.56,-121.32,0
179,3.89066769924691e-05,133126,133121,133121,0.7,0.8,0.7,13835,13834,13834,0,1,1,120,-120,0,120,-120,0
180,0.000402310475847114,133035,133089,133131,0,1.3,1.2,13827,13829,13836,0,1,1,119.96,-120.03,-0.01,119.95,-120.02,1
180,0.0410207110069563,135872,128581,131872,0,105.8,4.7,14122,13153,13700,32.8,1009.2,1018,118.66,-123.66,-0.01,119.81,-123.61,1
181,0.000942718228029193,133004,132996,133135,3.5,2.3,1.8,13817,13816,13836,39.1,43,9.6,119.93,-120.04,0.03,119.94,-120.02,0
181,1.22493972954736e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
182,0.000411213310977388,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
182,0.00293969580133092,132624,132842,133195,0,5.7,5.1,13784,13789,13847,39,42.9,9.5,119.7,-120.2,-0.01,119.7,-120.14,1
183,0.000882624665850006,133011,132999,133131,3.4,2.3,1.8,13818,13817,13836,37.3,41.6,10.3,119.94,-120.04,0.03,119.94,-120.02,0
183,1.22328064167457e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
184,0.000411237780934297,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
184,0.00281183680545921,132646,132850,133190,0,5.5,4.9,13787,13790,13846,37.2,41.4,10.3,119.71,-120.19,-0.01,119.71,-120.13,1
185,0.00104373247813706,133023,132898,133063,4.3,4.1,2.2,13820,13802,13826,42.1,66.8,37.2,119.95,-120.07,0.05,119.97,-120.06,0
185,1.3050871371154e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0,120,-120,0,120,-120,0
186,0.00041149606276154,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
186,0.00328862819045675,132684,132708,133168,0,8.1,5.4,13791,13768,13845,42,66.6,37.1,119.65,-120.31,-0.01,119.68,-120.24,1
187,0.000943812502789592,133034,132918,133065,4,3.9,2.1,13822,13805,13826,37.8,60.9,34.7,119.96,-120.07,0.04,119.98,-120.05,0
187,1.29223519876442e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0,120,-120,0,120,-120,0
188,0.000411064191109417,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
188,0.00299317122805437,132723,132743,133162,0,7.5,5,13795,13774,13843,37.7,60.7,34.6,119.68,-120.28,-0.01,119.71,-120.22,1
189,0.00521799305525971,133208,132378,132615,8.8,15.2,7.1,13847,13727,13761,35.8,218.8,201.3,120.09,-120.27,0.11,120.24,-120.26,0
